Result,ST1_x,ST2_x,CM1_x,CM2_x,LM_x,RM_x,CB1_x,CB2_x,LB_x,RB_x,GK_x,ST1_y,ST2_y,CM1_y,CM2_y,LM_y,RM_y,CB1_y,CB2_y,LB_y,RB_y,GK_y
w_away,73,70,74,73,70,75,74,74,73,73,78,86,72,86,85,86,83,89,83,82,82,82
w_home,82,80,83,82,80,77,84,78,77,79,84,86,72,86,85,86,83,89,83,82,82,82
w_away,77,75,78,80,77,75,76,74,73,76,81,86,72,86,85,86,83,89,83,82,82,82
w_home,76,74,80,73,75,77,79,75,75,73,75,86,72,86,85,86,83,89,83,82,82,82
w_away,74,71,74,73,73,72,71,70,71,72,76,86,72,86,85,86,83,89,83,82,82,82
w_away,75,74,75,74,74,70,76,73,73,73,77,86,72,86,85,86,83,89,83,82,82,82
w_away,76,74,74,71,69,73,74,74,73,73,72,86,72,86,85,86,83,89,83,82,82,82
w_away,71,70,72,70,72,72,72,72,69,71,72,86,72,86,85,86,83,89,83,82,82,82
w_home,81,79,81,78,80,79,82,74,70,76,78,86,72,86,85,86,83,89,83,82,82,82
w_away,79,73,85,81,81,75,82,76,75,74,75,86,72,86,85,86,83,89,83,82,82,82
w_away,85,74,81,80,81,80,78,77,75,79,83,86,72,86,85,86,83,89,83,82,82,82
w_away,76,75,75,59,74,75,76,74,72,72,75,86,72,86,85,86,83,89,83,82,82,82
w_away,77,74,74,73,70,73,74,74,74,72,79,86,72,86,85,86,83,89,83,82,82,82
w_away,77,74,77,75,76,76,77,73,74,78,82,86,72,86,85,86,83,89,83,82,82,82
w_home,77,75,77,75,76,61,76,76,73,74,77,86,72,86,85,86,83,89,83,82,82,82
w_away,74,72,76,74,74,76,78,78,74,72,73,86,72,86,85,86,83,89,83,82,82,82
w_away,76,73,79,76,74,69,78,73,76,71,82,86,72,86,85,86,83,89,83,82,82,82
w_home,79,74,77,76,72,76,76,74,77,72,74,86,72,86,85,86,83,89,83,82,82,82
w_away,76,74,77,75,74,79,82,77,75,73,85,86,72,86,85,86,83,89,83,82,82,82
draw,88,83,89,83,85,81,85,84,82,80,88,86,72,86,85,86,83,89,83,82,82,82
w_home,92,92,93,87,88,84,87,83,86,81,84,86,72,86,85,86,83,89,83,82,82,82
w_home,73,70,74,73,70,75,74,74,73,73,78,77,75,77,75,76,61,76,76,73,74,77
w_home,82,80,83,82,80,77,84,78,77,79,84,77,75,77,75,76,61,76,76,73,74,77
w_home,77,75,78,80,77,75,76,74,73,76,81,77,75,77,75,76,61,76,76,73,74,77
w_away,76,74,80,73,75,77,79,75,75,73,75,77,75,77,75,76,61,76,76,73,74,77
w_home,74,71,74,73,73,72,71,70,71,72,76,77,75,77,75,76,61,76,76,73,74,77
w_home,75,74,75,74,74,70,76,73,73,73,77,77,75,77,75,76,61,76,76,73,74,77
draw,76,74,74,71,69,73,74,74,73,73,72,77,75,77,75,76,61,76,76,73,74,77
draw,71,70,72,70,72,72,72,72,69,71,72,77,75,77,75,76,61,76,76,73,74,77
w_home,81,79,81,78,80,79,82,74,70,76,78,77,75,77,75,76,61,76,76,73,74,77
draw,79,73,85,81,81,75,82,76,75,74,75,77,75,77,75,76,61,76,76,73,74,77
w_home,85,74,81,80,81,80,78,77,75,79,83,77,75,77,75,76,61,76,76,73,74,77
draw,76,75,75,59,74,75,76,74,72,72,75,77,75,77,75,76,61,76,76,73,74,77
draw,77,74,74,73,70,73,74,74,74,72,79,77,75,77,75,76,61,76,76,73,74,77
w_away,77,74,77,75,76,76,77,73,74,78,82,77,75,77,75,76,61,76,76,73,74,77
draw,74,72,76,74,74,76,78,78,74,72,73,77,75,77,75,76,61,76,76,73,74,77
w_home,76,73,79,76,74,69,78,73,76,71,82,77,75,77,75,76,61,76,76,73,74,77
w_home,79,74,77,76,72,76,76,74,77,72,74,77,75,77,75,76,61,76,76,73,74,77
draw,76,74,77,75,74,79,82,77,75,73,85,77,75,77,75,76,61,76,76,73,74,77
draw,86,72,86,85,86,83,89,83,82,82,82,77,75,77,75,76,61,76,76,73,74,77
draw,73,70,74,73,70,75,74,74,73,73,78,71,70,72,70,72,72,72,72,69,71,72
w_home,82,80,83,82,80,77,84,78,77,79,84,71,70,72,70,72,72,72,72,69,71,72
draw,77,75,78,80,77,75,76,74,73,76,81,71,70,72,70,72,72,72,72,69,71,72
draw,76,74,80,73,75,77,79,75,75,73,75,71,70,72,70,72,72,72,72,69,71,72
w_home,74,71,74,73,73,72,71,70,71,72,76,71,70,72,70,72,72,72,72,69,71,72
w_home,75,74,75,74,74,70,76,73,73,73,77,71,70,72,70,72,72,72,72,69,71,72
w_home,76,74,74,71,69,73,74,74,73,73,72,71,70,72,70,72,72,72,72,69,71,72
w_home,81,79,81,78,80,79,82,74,70,76,78,71,70,72,70,72,72,72,72,69,71,72
w_home,79,73,85,81,81,75,82,76,75,74,75,71,70,72,70,72,72,72,72,69,71,72
w_home,85,74,81,80,81,80,78,77,75,79,83,71,70,72,70,72,72,72,72,69,71,72
w_away,76,75,75,59,74,75,76,74,72,72,75,71,70,72,70,72,72,72,72,69,71,72
w_away,77,74,74,73,70,73,74,74,74,72,79,71,70,72,70,72,72,72,72,69,71,72
w_home,77,74,77,75,76,76,77,73,74,78,82,71,70,72,70,72,72,72,72,69,71,72
draw,77,75,77,75,76,61,76,76,73,74,77,71,70,72,70,72,72,72,72,69,71,72
w_home,74,72,76,74,74,76,78,78,74,72,73,71,70,72,70,72,72,72,72,69,71,72
w_home,76,73,79,76,74,69,78,73,76,71,82,71,70,72,70,72,72,72,72,69,71,72
w_home,79,74,77,76,72,76,76,74,77,72,74,71,70,72,70,72,72,72,72,69,71,72
draw,76,74,77,75,74,79,82,77,75,73,85,71,70,72,70,72,72,72,72,69,71,72
w_home,86,72,86,85,86,83,89,83,82,82,82,71,70,72,70,72,72,72,72,69,71,72
w_home,73,70,74,73,70,75,74,74,73,73,78,79,74,77,76,72,76,76,74,77,72,74
draw,82,80,83,82,80,77,84,78,77,79,84,79,74,77,76,72,76,76,74,77,72,74
w_home,77,75,78,80,77,75,76,74,73,76,81,79,74,77,76,72,76,76,74,77,72,74
draw,76,74,80,73,75,77,79,75,75,73,75,79,74,77,76,72,76,76,74,77,72,74
draw,74,71,74,73,73,72,71,70,71,72,76,79,74,77,76,72,76,76,74,77,72,74
draw,75,74,75,74,74,70,76,73,73,73,77,79,74,77,76,72,76,76,74,77,72,74
draw,76,74,74,71,69,73,74,74,73,73,72,79,74,77,76,72,76,76,74,77,72,74
w_away,71,70,72,70,72,72,72,72,69,71,72,79,74,77,76,72,76,76,74,77,72,74
w_home,81,79,81,78,80,79,82,74,70,76,78,79,74,77,76,72,76,76,74,77,72,74
w_home,79,73,85,81,81,75,82,76,75,74,75,79,74,77,76,72,76,76,74,77,72,74
w_away,85,74,81,80,81,80,78,77,75,79,83,79,74,77,76,72,76,76,74,77,72,74
w_home,76,75,75,59,74,75,76,74,72,72,75,79,74,77,76,72,76,76,74,77,72,74
w_home,77,74,74,73,70,73,74,74,74,72,79,79,74,77,76,72,76,76,74,77,72,74
w_home,77,74,77,75,76,76,77,73,74,78,82,79,74,77,76,72,76,76,74,77,72,74
w_home,77,75,77,75,76,61,76,76,73,74,77,79,74,77,76,72,76,76,74,77,72,74
w_home,74,72,76,74,74,76,78,78,74,72,73,79,74,77,76,72,76,76,74,77,72,74
w_home,76,73,79,76,74,69,78,73,76,71,82,79,74,77,76,72,76,76,74,77,72,74
w_home,76,74,77,75,74,79,82,77,75,73,85,79,74,77,76,72,76,76,74,77,72,74
w_home,86,72,86,85,86,83,89,83,82,82,82,79,74,77,76,72,76,76,74,77,72,74
w_away,73,70,74,73,70,75,74,74,73,73,78,74,72,76,74,74,76,78,78,74,72,73
w_home,82,80,83,82,80,77,84,78,77,79,84,74,72,76,74,74,76,78,78,74,72,73
w_away,77,75,78,80,77,75,76,74,73,76,81,74,72,76,74,74,76,78,78,74,72,73
w_home,76,74,80,73,75,77,79,75,75,73,75,74,72,76,74,74,76,78,78,74,72,73
w_home,74,71,74,73,73,72,71,70,71,72,76,74,72,76,74,74,76,78,78,74,72,73
w_away,75,74,75,74,74,70,76,73,73,73,77,74,72,76,74,74,76,78,78,74,72,73
w_home,76,74,74,71,69,73,74,74,73,73,72,74,72,76,74,74,76,78,78,74,72,73
w_home,71,70,72,70,72,72,72,72,69,71,72,74,72,76,74,74,76,78,78,74,72,73
w_away,81,79,81,78,80,79,82,74,70,76,78,74,72,76,74,74,76,78,78,74,72,73
w_home,79,73,85,81,81,75,82,76,75,74,75,74,72,76,74,74,76,78,78,74,72,73
w_home,85,74,81,80,81,80,78,77,75,79,83,74,72,76,74,74,76,78,78,74,72,73
w_home,76,75,75,59,74,75,76,74,72,72,75,74,72,76,74,74,76,78,78,74,72,73
draw,77,74,74,73,70,73,74,74,74,72,79,74,72,76,74,74,76,78,78,74,72,73
w_away,77,74,77,75,76,76,77,73,74,78,82,74,72,76,74,74,76,78,78,74,72,73
w_home,77,75,77,75,76,61,76,76,73,74,77,74,72,76,74,74,76,78,78,74,72,73
draw,76,73,79,76,74,69,78,73,76,71,82,74,72,76,74,74,76,78,78,74,72,73
w_home,79,74,77,76,72,76,76,74,77,72,74,74,72,76,74,74,76,78,78,74,72,73
w_home,76,74,77,75,74,79,82,77,75,73,85,74,72,76,74,74,76,78,78,74,72,73
w_home,86,72,86,85,86,83,89,83,82,82,82,74,72,76,74,74,76,78,78,74,72,73
draw,73,70,74,73,70,75,74,74,73,73,78,74,71,74,73,73,72,71,70,71,72,76
w_home,82,80,83,82,80,77,84,78,77,79,84,74,71,74,73,73,72,71,70,71,72,76
w_home,77,75,78,80,77,75,76,74,73,76,81,74,71,74,73,73,72,71,70,71,72,76
draw,76,74,80,73,75,77,79,75,75,73,75,74,71,74,73,73,72,71,70,71,72,76
draw,75,74,75,74,74,70,76,73,73,73,77,74,71,74,73,73,72,71,70,71,72,76
w_home,76,74,74,71,69,73,74,74,73,73,72,74,71,74,73,73,72,71,70,71,72,76
w_home,71,70,72,70,72,72,72,72,69,71,72,74,71,74,73,73,72,71,70,71,72,76
w_home,81,79,81,78,80,79,82,74,70,76,78,74,71,74,73,73,72,71,70,71,72,76
draw,79,73,85,81,81,75,82,76,75,74,75,74,71,74,73,73,72,71,70,71,72,76
w_home,85,74,81,80,81,80,78,77,75,79,83,74,71,74,73,73,72,71,70,71,72,76
w_home,76,75,75,59,74,75,76,74,72,72,75,74,71,74,73,73,72,71,70,71,72,76
w_away,77,74,74,73,70,73,74,74,74,72,79,74,71,74,73,73,72,71,70,71,72,76
